No of Threads,Time
1,54383.6
2,28020.1
3,20229.5
4,15061.9
5,12682.2
6,10679
7,9676.94
8,8913.06
9,8774.48
10,7698.33
11,7852.21
12,7336.15
13,7371.67
14,7796.2
15,7214.8
16,7005.62
17,6704.23
18,6585.94
19,6694.34
20,6356.85
21,7045.66
22,6999.87
23,5929.3
24,6390.82
25,6989.19
26,6427.61
27,6257.1
28,7637.68
29,6903.79
30,7024.65
31,7188.82
32,6822.45
33,7514.58
34,5900.15
35,6382.24
36,7139.09
37,7810.23
38,6331.54
39,7363.09
40,5954.13
41,7131.89
42,8005.2
43,6959.76
44,8291.94
45,6938.91
46,6126.28
47,7551.36
48,6451.97
49,8397.22
50,7062.04
51,6242.9
52,8366.43
53,7242.75
54,6375.39
55,8645.32
56,7363.47
57,6745.17
58,9265.09
59,8327.72
60,7325.78
61,6699.91
62,9483.28
63,8455.93
64,7725.95
65,7075.69
66,10286.3
67,9430.23
68,8674.52
69,8001.83
70,7219.31
71,10478.8
72,9638.23
73,9111.95
74,8444.99
75,7781.72
76,7097.25
77,10626.5
78,9931.5
79,9383.99
80,8710.08
81,8153.32
82,7603.53
83,6920.55
84,11110.2
85,10159.1
86,10021.9
87,9399.87
88,8864.69
89,8313.93
90,7577.05
91,7028.24
92,6737.6
93,11086.9
94,10416.3
95,10042.9
96,9547.73
97,9186.86
98,8583.76
99,8124.03
100,7695.45
